,Team,Opponent,Team_Score,Opponent_Score,net_score,Opp_avg_Score,Opp_avg_Passing,Team_Rushing,Opp_avg_to,Opp_avg_yards,Opp_win_rate
283,Los Angeles Rams,Oakland Raiders,33,13,20,18.125,234.4375,101.75,1.5,336.1875,0.25
284,Los Angeles Rams,Arizona Cardinals,34,0,34,14.0625,157.6875,83.875,1.75,241.5625,0.1875
285,Los Angeles Rams,Los Angeles Chargers,35,23,12,26.61111111111111,253.27777777777777,110.05555555555556,1.2222222222222223,363.3333333333333,0.7222222222222222
286,Los Angeles Rams,Minnesota Vikings,38,31,7,22.5,252.25,93.3125,1.25,345.5625,0.5
287,Los Angeles Rams,Seattle Seahawks,33,31,2,26.470588235294116,195.23529411764707,154.88235294117646,0.6470588235294118,350.11764705882354,0.5882352941176471
288,Los Angeles Rams,Denver Broncos,23,20,3,20.5625,230.9375,119.1875,1.3125,350.125,0.375
289,Los Angeles Rams,San Francisco 49ers,39,10,29,21.375,241.6875,118.875,2.0,360.5625,0.25
290,Los Angeles Rams,Green Bay Packers,29,27,2,23.5,264.875,104.1875,0.9375,369.0625,0.375
291,Los Angeles Rams,New Orleans Saints,35,45,-10,30.38888888888889,253.72222222222223,122.77777777777777,1.0,376.5,0.7777777777777778
292,Los Angeles Rams,Seattle Seahawks,36,31,5,26.470588235294116,195.23529411764707,154.88235294117646,0.6470588235294118,350.11764705882354,0.5882352941176471
293,Los Angeles Rams,Kansas City Chiefs,54,51,3,34.833333333333336,303.1666666666667,115.33333333333333,1.0555555555555556,418.5,0.7222222222222222
294,Los Angeles Rams,Detroit Lions,30,16,14,20.25,223.5,103.75,1.1875,327.25,0.375
295,Los Angeles Rams,Chicago Bears,6,15,-9,25.647058823529413,226.76470588235293,117.82352941176471,1.411764705882353,344.5882352941176,0.7058823529411765
296,Los Angeles Rams,Philadelphia Eagles,23,30,-7,22.055555555555557,263.0,92.27777777777777,1.5,355.27777777777777,0.5555555555555556
297,Los Angeles Rams,Arizona Cardinals,31,9,22,14.0625,157.6875,83.875,1.75,241.5625,0.1875
298,Los Angeles Rams,San Francisco 49ers,48,32,16,21.375,241.6875,118.875,2.0,360.5625,0.25
299,Los Angeles Rams,Dallas Cowboys,30,22,8,21.38888888888889,222.88888888888889,120.94444444444444,1.0,343.8333333333333,0.6111111111111112
300,Los Angeles Rams,New Orleans Saints,26,23,3,30.38888888888889,253.72222222222223,122.77777777777777,1.0,376.5,0.7777777777777778
333,New England Patriots,Houston Texans,27,20,7,24.058823529411764,235.1764705882353,125.05882352941177,1.0,360.2352941176471,0.6470588235294118
334,New England Patriots,Jacksonville Jaguars,20,31,-11,15.3125,194.3125,107.6875,1.8125,302.0,0.3125
335,New England Patriots,Detroit Lions,10,26,-16,20.25,223.5,103.75,1.1875,327.25,0.375
336,New England Patriots,Miami Dolphins,38,7,31,19.9375,181.25,108.625,1.4375,289.875,0.4375
337,New England Patriots,Indianapolis Colts,38,24,14,25.944444444444443,270.1111111111111,111.38888888888889,1.4444444444444444,381.5,0.6111111111111112
338,New England Patriots,Kansas City Chiefs,43,40,3,34.833333333333336,303.1666666666667,115.33333333333333,1.0555555555555556,418.5,0.7222222222222222
339,New England Patriots,Chicago Bears,38,31,7,25.647058823529413,226.76470588235293,117.82352941176471,1.411764705882353,344.5882352941176,0.7058823529411765
340,New England Patriots,Buffalo Bills,25,6,19,16.8125,174.625,124.0,2.0,298.625,0.375
341,New England Patriots,Green Bay Packers,31,17,14,23.5,264.875,104.1875,0.9375,369.0625,0.375
342,New England Patriots,Tennessee Titans,10,34,-24,19.375,185.9375,126.6875,1.125,312.625,0.5625
343,New England Patriots,New York Jets,27,13,14,20.8125,197.8125,101.375,1.875,299.1875,0.25
344,New England Patriots,Minnesota Vikings,24,10,14,22.5,252.25,93.3125,1.25,345.5625,0.5
345,New England Patriots,Miami Dolphins,33,34,-1,19.9375,181.25,108.625,1.4375,289.875,0.4375
346,New England Patriots,Pittsburgh Steelers,10,17,-7,26.75,313.0,90.3125,1.625,403.3125,0.5625
347,New England Patriots,Buffalo Bills,24,12,12,16.8125,174.625,124.0,2.0,298.625,0.375
348,New England Patriots,New York Jets,38,3,35,20.8125,197.8125,101.375,1.875,299.1875,0.25
349,New England Patriots,Los Angeles Chargers,41,28,13,26.61111111111111,253.27777777777777,110.05555555555556,1.2222222222222223,363.3333333333333,0.7222222222222222
350,New England Patriots,Kansas City Chiefs,37,31,6,34.833333333333336,303.1666666666667,115.33333333333333,1.0555555555555556,418.5,0.7222222222222222
